,code,name,time,price,volume,preprice,type
0,600000,浦发银行,15:00:00,10.22,167400,10.22,买盘
1,600000,浦发银行,14:48:53,10.18,330100,10.22,卖盘
2,600000,浦发银行,14:46:11,10.23,325500,10.23,买盘
3,600000,浦发银行,14:44:02,10.22,53900,10.21,买盘
4,600000,浦发银行,14:37:11,10.2,54100,10.2,卖盘
5,600000,浦发银行,14:31:17,10.2,69800,10.19,买盘
6,600000,浦发银行,14:30:05,10.2,47300,10.2,买盘
7,600000,浦发银行,14:25:50,10.2,98800,10.2,买盘
8,600000,浦发银行,14:25:47,10.2,63800,10.2,买盘
9,600000,浦发银行,14:16:07,10.21,57586,10.19,买盘
10,600000,浦发银行,14:14:10,10.19,45114,10.2,卖盘
11,600000,浦发银行,14:13:59,10.2,102900,10.19,买盘
12,600000,浦发银行,14:03:55,10.19,100200,10.2,卖盘
13,600000,浦发银行,13:57:13,10.2,61700,10.21,卖盘
14,600000,浦发银行,13:53:13,10.21,44400,10.2,买盘
15,600000,浦发银行,13:48:01,10.23,62258,10.21,买盘
16,600000,浦发银行,13:47:58,10.21,53300,10.22,卖盘
17,600000,浦发银行,13:47:55,10.22,48728,10.21,买盘
18,600000,浦发银行,13:40:22,10.2,41300,10.2,卖盘
19,600000,浦发银行,13:10:22,10.21,50300,10.2,买盘
20,600000,浦发银行,13:06:58,10.19,100000,10.19,卖盘
21,600000,浦发银行,13:01:31,10.21,44800,10.2,买盘
22,600000,浦发银行,13:00:04,10.21,140200,10.2,买盘
23,600000,浦发银行,11:20:46,10.21,56200,10.2,买盘
24,600000,浦发银行,11:20:01,10.21,58200,10.2,买盘
25,600000,浦发银行,11:03:31,10.21,57000,10.21,卖盘
26,600000,浦发银行,10:58:48,10.21,156923,10.21,卖盘
27,600000,浦发银行,10:44:06,10.23,84300,10.22,买盘
28,600000,浦发银行,10:43:21,10.22,57400,10.22,买盘
29,600000,浦发银行,10:34:24,10.22,41900,10.21,买盘
30,600000,浦发银行,10:30:03,10.22,69183,10.22,卖盘
31,600000,浦发银行,10:29:57,10.23,61000,10.22,买盘
32,600000,浦发银行,10:25:39,10.23,41500,10.23,买盘
33,600000,浦发银行,10:14:39,10.26,50200,10.25,买盘
34,600000,浦发银行,10:14:06,10.23,100200,10.24,卖盘
35,600000,浦发银行,10:13:36,10.23,100000,10.26,卖盘
36,600000,浦发银行,10:13:06,10.24,95000,10.25,卖盘
37,600000,浦发银行,10:12:36,10.24,100300,10.25,卖盘
38,600000,浦发银行,10:12:15,10.26,82300,10.25,买盘
39,600000,浦发银行,10:12:06,10.24,100500,10.25,卖盘
40,600000,浦发银行,10:03:27,10.27,54200,10.26,买盘
41,600000,浦发银行,10:03:21,10.25,45700,10.26,卖盘
42,600000,浦发银行,10:03:15,10.26,59100,10.27,卖盘
43,600000,浦发银行,09:56:06,10.24,46900,10.25,卖盘
44,600000,浦发银行,09:55:33,10.25,54400,10.24,买盘
45,600000,浦发银行,09:54:51,10.23,50300,10.24,卖盘
46,600000,浦发银行,09:50:21,10.22,54900,10.23,卖盘
47,600000,浦发银行,09:50:15,10.23,43800,10.23,卖盘
48,600000,浦发银行,09:50:00,10.24,68400,10.25,卖盘
49,600000,浦发银行,09:48:24,10.24,106612,10.23,买盘
50,600000,浦发银行,09:47:27,10.23,41252,10.24,卖盘
51,600000,浦发银行,09:47:21,10.24,66800,10.23,买盘
52,600000,浦发银行,09:42:06,10.23,103400,10.22,买盘
53,600000,浦发银行,09:39:54,10.24,45800,10.25,卖盘
54,600000,浦发银行,09:35:21,10.25,41800,10.27,卖盘
55,600000,浦发银行,09:35:15,10.27,60200,10.26,买盘
56,600000,浦发银行,09:34:54,10.26,48400,10.25,买盘
57,600000,浦发银行,09:31:48,10.25,45900,10.24,买盘
58,600000,浦发银行,09:31:21,10.24,55100,10.23,买盘
59,600000,浦发银行,09:31:12,10.24,40100,10.23,买盘
60,600000,浦发银行,09:30:54,10.24,54700,10.25,卖盘
61,600000,浦发银行,09:25:00,10.26,141900,0.0,买盘
