,code,name,area
0,600284,浦东建设,上海
1,300336,新文化,上海
2,603918,金桥信息,上海
3,601211,国泰君安,上海
4,300008,天海防务,上海
5,600635,大众公用,上海
6,002184,海得控制,上海
7,600818,中路股份,上海
8,600695,绿庭投资,上海
9,300590,移为通信,上海
10,300126,锐奇股份,上海
11,600626,申达股份,上海
12,603496,恒为科技,上海
13,603330,上海天洋,上海
14,002454,松芝股份,上海
15,600826,兰生股份,上海
16,300642,透景生命,上海
17,300236,上海新阳,上海
18,300627,华测导航,上海
19,600606,绿地控股,上海
20,603329,上海雅仕,上海
21,603039,泛微网络,上海
22,300222,科大智能,上海
23,600613,神奇制药,上海
24,600819,耀皮玻璃,上海
25,603197,保隆科技,上海
26,300074,华平股份,上海
27,600653,申华控股,上海
28,600601,方正科技,上海
29,600150,*ST船舶,上海
30,002346,柘中股份,上海
31,603226,菲林格尔,上海
32,603515,欧普照明,上海
33,600026,中远海能,上海
34,300180,华峰超纤,上海
35,300511,雪榕生物,上海
36,600637,东方明珠,上海
37,600602,云赛智联,上海
38,600073,上海梅林,上海
39,601872,招商轮船,上海
40,601200,上海环境,上海
41,002706,良信电器,上海
42,603020,爱普股份,上海
43,603633,徕木股份,上海
44,603030,全筑股份,上海
45,600835,上海机电,上海
46,002568,百润股份,上海
47,603056,德邦股份,上海
48,603003,龙宇燃油,上海
49,300483,沃施股份,上海
50,601788,光大证券,上海
51,002178,延华智能,上海
52,600708,光明地产,上海
53,600517,置信电气,上海
54,000668,荣丰控股,上海
55,600508,上海能源,上海
56,600833,第一医药,上海
57,600676,交运股份,上海
58,603868,飞科电器,上海
59,600018,上港集团,上海
60,601021,春秋航空,上海
61,600629,华建集团,上海
62,603729,龙韵股份,上海
63,300286,安科瑞,上海
64,002401,中远海科,上海
65,000863,三湘印象,上海
66,300469,信息发展,上海
67,600647,同达创业,上海
68,600655,豫园股份,上海
69,600500,中化国际,上海
70,600597,光明乳业,上海
71,603466,风语筑,上海
72,600836,界龙实业,上海
73,600816,安信信托,上海
74,600641,万业企业,上海
75,600532,宏达矿业,上海
76,600838,上海九百,上海
77,603648,畅联股份,上海
78,600622,光大嘉宝,上海
79,600019,宝钢股份,上海
80,603580,艾艾精工,上海
81,603012,创力集团,上海
82,300225,金力泰,上海
83,603619,中曼石油,上海
84,002278,神开股份,上海
85,600619,海立股份,上海
86,300398,飞凯材料,上海
87,300326,凯利泰,上海
88,600278,东方创业,上海
89,300327,中颖电子,上海
90,300061,康旗股份,上海
91,603159,上海亚虹,上海
92,603659,璞泰来,上海
93,600618,氯碱化工,上海
94,300272,开能健康,上海
95,601968,宝钢包装,上海
96,002162,悦心健康,上海
97,601616,广电电气,上海
98,600822,上海物贸,上海
99,603378,亚士创能,上海
100,600732,ST新梅,上海
101,600837,海通证券,上海
102,600170,上海建工,上海
103,002825,纳尔股份,上海
104,300613,富瀚微,上海
105,300262,巴安水务,上海
106,600846,同济科技,上海
107,600827,百联股份,上海
108,002195,二三四五,上海
109,601328,交通银行,上海
110,600621,华鑫股份,上海
111,603579,荣泰健康,上海
112,600754,锦江股份,上海
113,002486,嘉麟杰,上海
114,600000,浦发银行,上海
115,600636,三爱富,上海
116,600119,长江投资,上海
117,300508,维宏股份,上海
