,date,code,name
0,2018-09-21,600000,浦发银行
1,2018-09-21,600016,民生银行
2,2018-09-21,600019,宝钢股份
3,2018-09-21,600028,中国石化
4,2018-09-21,600029,南方航空
5,2018-09-21,600030,中信证券
6,2018-09-21,600036,招商银行
7,2018-09-21,600048,保利地产
8,2018-09-21,600050,中国联通
9,2018-09-21,600104,上汽集团
10,2018-09-21,600111,北方稀土
11,2018-09-21,600276,恒瑞医药
12,2018-09-21,600309,万华化学
13,2018-09-21,600340,华夏幸福
14,2018-09-21,600519,贵州茅台
15,2018-09-21,600547,山东黄金
16,2018-09-21,600585,海螺水泥
17,2018-09-21,600606,绿地控股
18,2018-09-21,600690,青岛海尔
19,2018-09-21,600703,三安光电
20,2018-09-21,600887,伊利股份
21,2018-09-21,600958,东方证券
22,2018-09-21,600999,招商证券
23,2018-09-21,601006,大秦铁路
24,2018-09-21,601088,中国神华
25,2018-09-21,601166,兴业银行
26,2018-09-21,601169,北京银行
27,2018-09-21,601186,中国铁建
28,2018-09-21,601211,国泰君安
29,2018-09-21,601229,上海银行
30,2018-09-21,601288,农业银行
31,2018-09-21,601318,中国平安
32,2018-09-21,601328,交通银行
33,2018-09-21,601336,新华保险
34,2018-09-21,601360,三六零
35,2018-09-21,601390,中国中铁
36,2018-09-21,601398,工商银行
37,2018-09-21,601601,中国太保
38,2018-09-21,601628,中国人寿
39,2018-09-21,601668,中国建筑
40,2018-09-21,601688,华泰证券
41,2018-09-21,601766,中国中车
42,2018-09-21,601800,中国交建
43,2018-09-21,601818,光大银行
44,2018-09-21,601857,中国石油
45,2018-09-21,601878,浙商证券
46,2018-09-21,601881,中国银河
47,2018-09-21,601988,中国银行
48,2018-09-21,601989,中国重工
49,2018-09-21,603993,洛阳钼业
